factor,mean_lambda,std_lambda,t_stat_ols,t_stat_nw,p_value_nw,significant,annualized,mean_r2,n_periods
STR,0.03635106505578719,0.12963962291241277,2.2779875621989274,1.9601487412745153,0.05426768889599476,False,0.43621278066944624,0.34523156426732465,66
MOM_12_1,0.010635555930024684,0.08944083862500785,0.8738184556369364,0.9237393261038096,0.3598086411805206,False,0.1276266711602962,0.3074085517716366,54
ILLIQ,0.024158084345222097,0.20388194779277213,0.9626217874007226,0.8407440339314505,0.40357355561616215,False,0.28989701214266517,0.2288598557891155,66
BAB,0.004967159333214261,0.07840528480972339,0.46554282152046383,0.4794368950107501,0.6336003272780457,False,0.05960591199857114,0.26002336281889543,54
MOM_3_1,0.0056518654724248074,0.14423510417274812,0.31348071635352553,0.39292729696554857,0.6956996140868204,False,0.06782238566909769,0.29136239042090617,64
MOM_6_1,0.002347580245914269,0.0880727456950487,0.20646884855373873,0.23042669443129696,0.8185573385560518,False,0.02817096295097123,0.29141774531008624,60
MOM_VOL_ADJ,-0.002673405219179047,0.07778485200067176,-0.252561205462943,-0.25209271430259106,0.8019444464091947,False,-0.03208086263014857,0.24722878139230386,54
IVOL,-0.015810625349375003,0.23708661554393412,-0.5417687845640162,-0.5002440996132699,0.6185927002668214,False,-0.18972750419250003,0.38193721742761544,66
BTM,-0.0030201250669751774,0.04030015592400168,-0.6088217642924143,-0.5597663573950232,0.5775627994866364,False,-0.03624150080370213,0.2791324211704657,66
RVOL,-0.016976975934037023,0.22581167190155957,-0.6014560998047248,-0.5729716552906214,0.5687033724310466,False,-0.2037237112084443,0.3668789823653373,64
WSB_SENTIMENT_Z,-0.06549866103134198,0.34899949315042134,-0.818058621792301,-0.7294183540068891,0.4751313018318539,False,-0.7859839323761038,0.22725300726559647,19
ROE,-0.004482744826905204,0.06213829810959043,-0.5860796359071879,-0.7979843138529253,0.42778537491509816,False,-0.05379293792286245,0.4748567599082725,66
VALUE_COMP,-0.008218646255559087,0.08638104468615435,-0.7729542755226902,-0.9193785582887621,0.3612969252393188,False,-0.09862375506670905,0.6430871120411078,66
OPER_MARGIN,-0.008500350566972263,0.09032844501781095,-0.7645119369135053,-0.9353157866689701,0.3530875186370044,False,-0.10200420680366715,0.6977694450168775,66
EP,-0.00851298081614886,0.09056291363863866,-0.7636656144289014,-0.936384841891087,0.3525411919026644,False,-0.10215576979378632,0.7014466224484616,66
WSB_MENTION_Z,-0.01600903530400234,0.12742166576780758,-0.547644442200905,-1.271850751060196,0.21961359658254698,False,-0.19210842364802805,0.30775815497594433,19
WSB_ATTENTION_SHOCK_Z,-0.04328376016673318,0.1774239744273473,-1.0633824265981526,-2.703209769243773,0.014552112992473054,True,-0.5194051220007981,0.26765926672035956,19
GPOA,,,,,,False,,,0
QUALITY_COMP,,,,,,False,,,0
