,1d,5d,21d,63d
MOM_12_1,0.015169942415455807,0.009674095060157893,-0.007990329970283698,-0.019209959936681033
MOM_6_1,0.010443955683706188,0.0017776757398512775,-0.015124269626860741,-0.025044241328934562
MOM_3_1,0.002887828042820278,-0.007521445537194813,-0.014765060947022977,-0.02387151992115724
STR,0.0081619048743574,0.013796936117735595,0.025471957160299444,0.03156064228785748
MOM_VOL_ADJ,0.013931305552360622,0.006285431522488025,-0.012241283214030629,-0.02146627454067115
IVOL,-0.005653040374862611,-0.01712718695449755,-0.030452400664342294,-0.043903059071729963
RVOL,-0.00819036168686885,-0.022561979783257843,-0.04390407876230661,-0.06710941491911482
BAB,-0.013023936806509722,-0.026973431821157485,-0.050782075367415316,-0.09022569771580512
ILLIQ,-0.0018803927625343666,-0.0010911322841956467,0.0014990749809554902,0.0018766057196436948
BTM,-0.017131653818157743,-0.02809907206649904,-0.05005180327005547,-0.09000609905471091
EP,-0.02315293458819388,-0.03966494028889293,-0.07151491100414797,-0.12359359098762218
VALUE_COMP,-0.022116321288644426,-0.039485800837034256,-0.06963163141897848,-0.11648073427014126
GPOA,,,,
ROE,0.011808743348179992,0.018655032112282102,0.033721038518203676,0.051447215295770975
OPER_MARGIN,0.01109533322010395,0.024040709767973543,0.04009097197996158,0.05577575611804639
QUALITY_COMP,,,,
WSB_ATTENTION_SHOCK_Z,0.005542356111988395,9.870071995531956e-05,0.0019075644404389638,-0.0003262828635111003
WSB_MENTION_Z,-0.0020044187517263058,-0.0058726143047559305,-0.00852115238255614,-0.006600595296503451
WSB_SENTIMENT_Z,0.0006604640506478376,0.002245223907141064,-0.00044730238009044296,-0.0030472931546469528
WSB_WEB_TRAFFIC_GROWTH_Z,-0.0014150811239519478,-0.0015243071101971556,0.0048712913393705905,-0.001049293619131016
WSB_WEB_TRAFFIC_LEVEL_Z,-0.004660494567610735,-0.008820906421609861,-0.011150478036789431,-0.01936911291189848
WSB_WEB_TRAFFIC_SHOCK_Z,-0.004286428917336215,-0.007172613777871998,-0.006857367976107517,-0.015488687826545064
