factor,horizon_days,mean_ic,std_ic,icir,t_stat,p_value,pct_positive,n_periods,min_ic,max_ic
VALUE_COMP,21,-0.06109136512334023,0.20545531346607823,-0.2973462408575125,-12.548575041082517,0.0,0.36159460976979224,1781,-0.4860444688620565,0.5160184605017359
EP,21,-0.05295098409298421,0.18138432337563204,-0.2919270150118049,-12.319873437210475,0.0,0.35766423357664234,1781,-0.46114625625719863,0.4499417744644357
OPER_MARGIN,21,0.03555732233338851,0.12680440570273463,0.2804107801801849,11.833866496081658,0.0,0.6159460976979225,1781,-0.36836938083021203,0.39476057508967755
BTM,21,-0.04650650666816665,0.1685892198910404,-0.2758569420881354,-11.641685895922645,0.0,0.38742279618192027,1781,-0.4499635824436684,0.40130282632511494
ROE,21,0.03590988890682602,0.13830641041563452,0.2596400904261099,10.957304013628912,0.0,0.5772038180797305,1781,-0.32932163573622214,0.4075148256595066
BAB,21,-0.06617436658376283,0.3270281776366026,-0.20235065694337978,-7.912402316030396,4.884981308350689e-15,0.4133420536298234,1529,-0.8544389344022562,0.7559796158818575
RVOL,21,-0.05242376614962849,0.27223667995277967,-0.19256687290897595,-7.9816587831763295,2.6645352591003757e-15,0.4307334109429569,1718,-0.7768158031747143,0.6813976638647129
IVOL,21,-0.02534945329632489,0.16970999607282886,-0.149369240957654,-6.266391262433877,4.636109274258615e-10,0.44488636363636364,1760,-0.5369074038572128,0.45937103299753507
ILLIQ,21,-0.01772255451212996,0.15706023961077317,-0.11283921733501752,-4.733870782462445,2.3790926708677773e-06,0.46704545454545454,1760,-0.4217261660147799,0.43700284026160274
STR,21,0.01970443080127568,0.21050592974746976,0.09360511043519677,3.926954722335142,8.934890636380644e-05,0.5232954545454546,1760,-0.534487246227317,0.6703334337944536
MOM_3_1,21,-0.012340257836139668,0.21088212069873277,-0.058517326150039156,-2.4254708152955784,0.015391047368932043,0.49243306169965073,1718,-0.7611920874564347,0.6780140095180095
MOM_6_1,21,-0.008213126422870656,0.21956786600565828,-0.03740586713476098,-1.5217339363538929,0.12826690604555147,0.4936555891238671,1655,-0.7607034895953046,0.7765075755520389
MOM_12_1,21,0.007376923647851793,0.22577195412462472,0.03267422508900187,1.2776415860169765,0.20156990681588383,0.5474166121648136,1529,-0.685331561597081,0.754214727346094
MOM_VOL_ADJ,21,0.0026301659599377056,0.22134059843350432,0.011882889892555641,0.4646498653735531,0.6422484159660016,0.5284499672988882,1529,-0.7147593084760677,0.7533676721756303
GPOA,21,,,0.0,0.0,,,0,,
QUALITY_COMP,21,,,0.0,0.0,,,0,,
